food_id, food_name, calories, health_scale, image
1,Chicken bbq pizza,290,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnGrZhui6sRRQxeHzjCqxmOdWXwn5duo8VUnimw_5KutH9qUVmlnYVlaM3r1Y&amp;s
2,Grönsaksbullar Vegetable Balls (ikea),173.6111,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmWjr95vLM2kI_AR0So1GjMO3AVGSnvkJClWjoGGxegSDf5KJ55FxIV2g78A&amp;s
3,Sylt Hjortron Cloudberry Jam,248,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRM9yY-SGyYr0i8F4HwPcvWXumNtPZ3gXPdbePsuvUBE80Tp_vJsyo0hzD5oY0&amp;s
4,Sel Marin Aromatisé Poisson Esprit Du Sel 250 G,0,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS--Xp9IBw8jsrp58ZHJY7HKp4aovRxTvV14P_ObDEwifspqjpnKjvYewUd9Rg&amp;s
5,Harrys pain de mie longue conservation nature,283,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRU1tu3y1GuDqfjCkbExp6jc59ybNGYA3zM8Eg9q5B7OfdKcjPhxMah64TT6g&amp;s
6,Le Beurre Tendre doux,744,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXdLTCBG4GtoygQRO0HId9Jc7-1LUTMijvigdCJLSNb5GAdHSb5Iq8CO7Vd_c&amp;s
7,FARINE FLUIDE,335,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkaID1uftcV5lc-3f6MhwTZZKUAaKXLNdfn-jfzuS-QmhI-FTtKUpB-Kaq1w&amp;s
8,Orange mango passion fruit 100% fruit premium smoothie,255,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSBsIxPMw8k0JTLhpgl3S5Ealv6SStIMuWrWp7CQzkUvwGwCu8vebUygvUhA&amp;s
9,Bruschetta,480,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1UDB5u4qChLnI1Is1oPmoDdJNPt3aUOVe4Pun5Vibiu5V3p0H555kMxwmHOM&amp;s
10,Flageolets verts extra-fins,93,9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnd-ay2bU4r2hWW8OVtsFx5HkBCs1ymM1aERlZCZUGqWABW9Ry9ktwjDpvTQ&amp;s
11,4 Muffins,441,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSX3o6-MOEml0iOlvr1StYfn6KxIGsj6qxzH2xZUrxmV2KmZfNywGLKijEucG0&amp;s
12,Long nuggets aux filets de poulet,254,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkHexkGRg4-xuLkirfJib2MJR77RyNc86y7qEYToLxiyVHuuSDslkfHgekHw&amp;s
13,Olives confites noires dénoyautées,133,8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpUHHY4-4Ee8Z_U41K--pbKfDgy2FuhXG4mK0gsBP9R4mlEZwuf1tXMwvJCQc&amp;s
14,Mild sweet italian chicken sausage,117.6471,8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTe5zP9gcVU5CPwKxJpfpDavn56QBpO4CsUiTehO-KMK5QMMOfXJ1WlHvgd6w&amp;s
15,Pecan Shortbread Cookies,232.25806451613,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuThNzhGJJBt4MT-Nv-yqr8_n_INQgpkrr1qx6miT_WJms06RuWdS-BT5uybs&amp;s
16,Creme filled wafer rolls,480,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsZJ3P4MUa1qoNgoB1408dGhLzPaAsWsY0CpPSHArST1KswHj-ACfqx3oT2w&amp;s
17,Iced oatmeal cookies,464.28571428571,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_JN56psdhZUtV0U0ulcoKl7orlQ71O_7yHobTD8zUGa1lU4chryDqZdBkxw&amp;s
18,Maple Leaf Crème Cookies,478.26086956522,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjxjrduPfDPhawbrQM-81DCUPxZXn7SYzOSoNzpKtZMW9t-7ELOxy6Og2_Bw&amp;s
19,Chocolate chip cookies chocolate chip,485,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFw6ZZbnccj9trsXJDExu_MXfwgrsznlEdzQQGm_H62TVt7sHR8OLfgc6SDA&amp;s
21,Kong yen rice vinegar,0,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbGL2O56OzSAJYOH_0gVBAr_gK6dUf4nCnRdA2mkR3pdtBre26gAiDXWy15A&amp;s
22,Salted Butter Quarters,714.2857,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEnwAA7Z8hW7vgKq3aWGYanZhd9l7qJ26SDiWxY7lJuHpr6czvLcnLD2YWiw&amp;s
23,Multiseed snack crackers,464.28571428571,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1tH9kmZMi6iR7yolUQdz1uazNuDxvVggRx5PmXLmGA7BIaAMXrPX0l_dnWrE&amp;s
24,Chili infused,800,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJPJPXVDUe2qIUlDuMDPCJITlGAy-IoZcOh9B88A7lr2TLGQ0qWp7IB5qJEw&amp;s
25,Spaghetti,44.0529,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMeeYOuy0F16xrlUHZb8tUYg_XeLST1PK2CsLWPFc3MZ0LvZ9Ad0e-VbCBqIw&amp;s
26,Protein bread,285.7143,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmw0GYbuQRWWGG1hj3Q3wkvG75bTT_zLNXWamS-i7hMJEbCevQuaQ3D7TK7Q&amp;s
27,Gouda Jeune Everyday,346,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqJEAW4f012B0cafvo2Ep5W_8FlC6pZQ1uOmCXtwbixHFWtzb7JyKdW4uolvg&amp;s
