store_id,store_name,store_street,store_city,store_state
1,Rambling House,4292 Katonah Ave,Bronx,NY
2,Curry Spot,4268 Katonah Ave,Bronx,NY
3,Eileens Country Kitchen,964 McLean Ave,Yonkers,NY
4,Ali's Roti Shop,4220 White Plains Rd,Bronx,NY
5,HIM Ital Health Food Market,4374b White Plains Rd,Bronx,NY
6,Patrizia's of Woodlawn,4358 Katonah Ave,Bronx,NY
7,Avitable Bros,1016 McLean Ave,Yonkers,NY
8,Katonah Pizza & Pasta,4307 Katonah Ave,Bronx,NY
9,Vegans Delight,3565 Boston Rd,New York,NY
10,Sal's Pizzeria & Restaurant,1160 Yonkers Ave,Yonkers,NY
11,La Grotta Trattoria,811 McLean Ave,Yonkers,NY
12,Angelo Pizzeria,986 McLean Ave,Yonkers,NY
13,Cooyah Restaurant,3563 Boston Rd,New York,NY
14,China Top,3563 Boston Road,Bronx,NY
15,Heritage Bar & Restaurant,960 McLean Ave,Yonkers,NY
16,Wendy's,3636 Boston Rd,Bronx,NY
17,Valentino's,132 Bronx River Rd,Yonkers,NY
18,Mt Vernon Deli King,238 W Lincoln Ave,Mount Vernon,NY
19,Burger King,3500 Boston Rd,Bronx,NY
20,Rory Dolan's Restaurant & Bar,890 McLean Ave,Yonkers,NY
21,Dallas BBQ,2160 Bartow Ave,Bronx,NY
22,Panera Bread,340 Baychester Ave,Bronx,NY
23,Good To Go,1894 Eastchester Rd,Bronx,NY
24,Smashburger,847 Pelham Pkwy,Pelham Manor,NY
25,Caridad and Louie's Restaurant,1660 E Gun Hill Rd,Bronx,NY
26,Yumi,802 Pelham Pkwy,Pelham Manor,NY
27,Sorrento Pizzeria,2004 Williamsbridge Rd,Bronx,NY
28,Honey's Thai Pavilion,3036 Westchester Ave,Bronx,NY
29,Mexico Magico,1761 Crosby Ave,Bronx,NY
30,TGI Fridays,51780 E Gun Hill Rd,Bronx,NY
31,Emilio's Pizza,1051 Morris Park Ave,Bronx,NY
32,Dragon City,2102 Bartow Ave,Bronx,NY
33,Pelham Bay Diner,1920 E Gun Hill Rd,Bronx,NY
34,Vegans Delight,3565 Boston Rd,New York,NY
35,Venezia Pizzeria,1115 Astor Ave,Bronx,NY
36,Applebees,2276 Bartow Ave,Bronx,NY
37,Red Lobster,2090 Bartow Avenue,Bronx,NY
38,Golden Krust Caribbean Bakery,691 Co Op City Blvd,Bronx,NY
39,Richie Rich Carribean,3357 Fish Ave,Bronx,NY
40,Seashore Restaurant & Marina,591 City Island Ave,Bronx,NY
41,Smashburger,847 Pelham Pkwy,Pelham Manor,NY
42,Yumi,802 Pelham Pkwy,Pelham Manor,NY
43,Dallas BBQ,2160 Bartow Ave,Bronx,NY
44,Vegans Delight,3565 Boston Rd,New York,NY
45,Golden Krust Caribbean Bakery,691 Co Op City Blvd,Bronx,NY
46,Panera Bread,340 Baychester Ave,Bronx,NY
47,The Dumplin Shop,1530 E 222st,Bronx,NY
48,TGI Fridays,51780 E Gun Hill Rd,Bronx,NY
49,Richie Rich Carribean,3357 Fish Ave,Bronx,NY
50,Dragon City,2102 Bartow Ave,Bronx,NY
51,Red Lobster,2090 Bartow Avenue,Bronx,NY
52,Wendy's,4330 Boston Rd,Bronx,NY
53,Cooyah Restaurant,3563 Boston Rd,New York,NY
54,China Top,3563 Boston Road,Bronx,NY
55,Wendy's,3636 Boston Rd,Bronx,NY
56,Ali's Roti Shop,4220 White Plains Rd,Bronx,NY
57,Applebees,2276 Bartow Ave,Bronx,NY
58,Cozy Cottage,4105 Boston Rd,Bronx,NY
59,Burger King,3500 Boston Rd,Bronx,NY
60,Nick's Pizza Restaurant,1356 E Gun Hill Rd,Bronx,NY
61,Greek Express,3733 Riverdale Ave,Bronx,NY
62,Madisons Restaurant & Bar,5686 Riverdale Ave,Bronx,NY
63,Broadway Joe's Pizza,5983 Broadway,Bronx,NY
64,Nona's Pizza,6100 Riverdale Ave,Bronx,NY
65,Liebman's Kosher Delicatessen,552 W 235th St,Bronx,NY
66,Barbecue Pit,5788 Mosholu Ave,Bronx,NY
67,Gleeson's Sports Bar & Grill,6115 Broadway,Bronx,NY
68,Yo-Burger,3726 Riverdale Ave,Bronx,NY
69,Santa Fe Grill,6025 Broadway,Bronx,NY
70,Genericos's Pizzeria and Cafe',3535 Riverdale Ave,Bronx,NY
71,The Bronx Burger House,5816 Mosholou Ave,Bronx,NY
72,Hola Espana,5586 Broadway,New York,NY
73,Cafe Blue,3509 Johnson Ave,Bronx,NY
74,Dino's Pizza,5660 Mosholu Ave,Bronx,NY
75,Cumin Indian Restaurant,3549 Johnson Ave,Bronx,NY
76,Metate,3515 Johnson Ave,Bronx,NY
77,Loeser's Old Fashioned Kosher Deli,214 W 231st St,Bronx,NY
78,New Nagoya Sushi,5786 Mosholu Ave,Bronx,NY
79,Addeo's Riverdale Pizzeria,5654 Riverdale Ave,Bronx,NY
80,Christos Gyro,3625 Kingsbridge Ave,Bronx,NY
81,Greek Express,3733 Riverdale Ave,Bronx,NY
82,Hola Espana,5586 Broadway,New York,NY
83,Liebman's Kosher Delicatessen,552 W 235th St,Bronx,NY
84,Loeser's Old Fashioned Kosher Deli,214 W 231st St,Bronx,NY
85,Yo-Burger,3726 Riverdale Ave,Bronx,NY
86,Broadway Joe's Pizza,5983 Broadway,Bronx,NY
87,Genericos's Pizzeria and Cafe',3535 Riverdale Ave,Bronx,NY
88,P & K Grille,170 W 231st St,Bronx,NY
89,Picante Picante,156 W 231st St,Bronx,NY
90,Cafe Blue,3509 Johnson Ave,Bronx,NY
91,Cumin Indian Restaurant,3549 Johnson Ave,Bronx,NY
92,Metate,3515 Johnson Ave,Bronx,NY
93,Santa Fe Grill,6025 Broadway,Bronx,NY
94,Gleeson's Sports Bar & Grill,6115 Broadway,Bronx,NY
95,El Economico Restaurant,5589 Broadway,Bronx,NY
96,Christos Gyro,3625 Kingsbridge Ave,Bronx,NY
97,Palace of Japan,3505 Johnson Ave,Bronx,NY
98,Dale Restaurant,189 W 231st St,Bronx,NY
99,Mr. Nick's Pizza & Pasta,3552 Johnson Ave,New York,NY
100,Madisons Restaurant & Bar,5686 Riverdale Ave,Bronx,NY
101,Greek Express,3733 Riverdale Ave,Bronx,NY
102,Hola Espana,5586 Broadway,New York,NY
103,Caridad Restaurant,135 W Kingsbridge Rd,Bronx,NY
104,Loeser's Old Fashioned Kosher Deli,214 W 231st St,Bronx,NY
105,P & K Grille,170 W 231st St,Bronx,NY
106,Picante Picante,156 W 231st St,Bronx,NY
107,Tino's Delicatessen,2410 Arthur Ave,Bronx,NY
108,Mei Mei Restaurant,2833 Grand Concourse,Bronx,NY
109,Liebman's Kosher Delicatessen,552 W 235th St,Bronx,NY
110,Grandpa's Brick Oven Pizza,4973 Broadway,New York,NY
111,Mike's Deli,2344 Arthur Ave,Bronx,NY
112,Broadway Joe's Pizza,5983 Broadway,Bronx,NY
113,El Economico Restaurant,5589 Broadway,Bronx,NY
114,Michaelangelo's Little Italy,2477 Arthur Ave,Bronx,NY
115,Beans and Vines,4842 Broadway,New York,NY
116,Yo-Burger,3726 Riverdale Ave,Bronx,NY
117,Genericos's Pizzeria and Cafe',3535 Riverdale Ave,Bronx,NY
118,Sal's Pizzeria,3167 Bainbridge Ave,Bronx,NY
119,Dale Restaurant,189 W 231st St,Bronx,NY
120,Com Tam Ninh Kieu,2641 Jerome Ave,Bronx,NY
121,Hola Espana,5586 Broadway,New York,NY
122,Loeser's Old Fashioned Kosher Deli,214 W 231st St,Bronx,NY
123,P & K Grille,170 W 231st St,Bronx,NY
124,Picante Picante,156 W 231st St,Bronx,NY
125,Caridad Restaurant,135 W Kingsbridge Rd,Bronx,NY
126,Arturo's Pizzeria,5189A Broadway,Bronx,NY
127,Grandpa's Brick Oven Pizza,4973 Broadway,New York,NY
128,El Economico Restaurant,5589 Broadway,Bronx,NY
129,Liebman's Kosher Delicatessen,552 W 235th St,Bronx,NY
130,Dale Restaurant,189 W 231st St,Bronx,NY
131,Cold Cut City Gourmet,228 W 231st St,Bronx,NY
132,Sam's Pizza,232 W 231st St,Bronx,NY
133,Land & Sea Restaurant,5535 Broadway,Bronx,NY
134,Yummy Thai,4959 Broadway,New York,NY
135,La Piñata Mexican Grill,4930 Broadway,New York,NY
136,El Malecon Restaurant,5592 Broadway,Bronx,NY
137,Applebee's,76 W 225th St,Bronx,NY
138,Amy's Restaurant,586 W 207th St,New York,NY
139,Christos Gyro,3625 Kingsbridge Ave,Bronx,NY
140,Supreme Pizza,318 W 231st St,Bronx,NY
141,Rambling House,4292 Katonah Ave,Bronx,NY
142,Curry Spot,4268 Katonah Ave,Bronx,NY
143,VIP's Cafe,131 E Gun Hill Rd,Bronx,NY
144,Patrizia's of Woodlawn,4358 Katonah Ave,Bronx,NY
145,Eileens Country Kitchen,964 McLean Ave,Yonkers,NY
146,Sal's Pizzeria,3167 Bainbridge Ave,Bronx,NY
147,Tomo Sushi - Grill,642 Mclean Ave,Yonkers,NY
148,Broadway Joe's Pizza,5983 Broadway,Bronx,NY
149,Gleeson's Sports Bar & Grill,6115 Broadway,Bronx,NY
150,Santa Fe Grill,6025 Broadway,Bronx,NY
151,Ali's Roti Shop,4220 White Plains Rd,Bronx,NY
152,Katonah Pizza & Pasta,4307 Katonah Ave,Bronx,NY
153,Avitable Bros,1016 McLean Ave,Yonkers,NY
154,La Grotta Trattoria,811 McLean Ave,Yonkers,NY
155,Three Boys From Italy,704 Burke Ave,Bronx,NY
156,HIM Ital Health Food Market,4374b White Plains Rd,Bronx,NY
157,Mario's Pizza,79 E Gun Hill Road,Bronx,NY
