0,4% Milkfat Large Curd cottage cheese,110,8
1,Chicken bbq pizza,290,5
2,Grönsaksbullar Vegetable Balls (ikea),173.6111,7
3,Sylt Hjortron Cloudberry Jam,248,6
4,Sel Marin Aromatisé Poisson Esprit Du Sel 250 G,0,10
5,Harrys pain de mie longue conservation nature,283,5
6,Le Beurre Tendre doux,744,0
7,FARINE FLUIDE,335,4
8,Orange mango passion fruit 100% fruit premium smoothie,255,5
9,Bruschetta,480,1
10,Flageolets verts extra-fins,93,9
11,4 Muffins,441,2
12,Long nuggets aux filets de poulet,254,5
13,Olives confites noires dénoyautées,133,8
14,Mild sweet italian chicken sausage,117.6471,8
15,Pecan Shortbread Cookies,232.25806451613,6
16,Creme filled wafer rolls,480,1
17,Iced oatmeal cookies,464.28571428571,1
18,Maple Leaf Crème Cookies,478.26086956522,1
19,Chocolate chip cookies chocolate chip,485,1
20,Biscuit,460,1
21,Kong yen rice vinegar,0,10
22,Salted Butter Quarters,714.2857,0
23,Multiseed snack crackers,464.28571428571,1
24,Chili infused,800,0
25,Spaghetti,44.0529,10
26,Protein bread,285.7143,5
27,Gouda Jeune Everyday,346,4
28,Coca-Cola Zéro Sucre,0.2,10
29,Presssd apple juice drink,23,10
30,Coca-Cola,42,10
31,Pois chiches boni,504,0
32,Marrons entiers,163,7
33,Tesco Folded Flatbreads Plain 6 Pack,291,5
34,Huel Black,400,2
35,caramel collection,498,1
36,Tunisian extra virgin olive oil,800,0
37,Berry Cocktail Yoghurt,105,8
38,Tilapia Fillets,96,9
39,Extra Virgin Olive Oil,800,0
40,Vermicelles de Chine en Riz,308,4
41,Excellence,47,10
42,Instant Noodles Bowl Shrimp,458,1
43,Huile d'olive,821,0
44,Yellow Label Tea,4,10
45,Mini pound cake,404,2
46,Crisp paprika,446,2
47,Brisures de biscuits,443,2
48,Salvado,400,2
49,Milk chocolate egg filled with rolo chocolates,520,0
50,Chocolate cake,440,2
51,Milka tuc,515,0
52,Oreo cookies golden,486,1
53,Crackers Express,433,2
54,Milk Caramel Spread Filled Sandwich Cookies With Chocolate Flavored Coating,426,2
55,Oreo cookies,479,1
56,Toblerone chocolate bar milk,529,0
57,Cadbury milk tray chocolate pieces milk,516,0
58,Pirucream,495.2381,1
59,Breakfast Biscuits Honey and Nuts,448,2
60,Cadbury dairy milk chocolate bar wholenut,550,0
61,CALDO PAELLA,30,10
62,Vegetable medley with chunk light tuna,96,9
63,Heinz Sauce Cocktail,399,3
64,Whole berry cranberry sauce,160,7
65,Red Wine Vinegar A Blend Of Cabernet Sauvignon Vinegar & Reduced Grape Must Unfiletered Naturally Aged In Oak Barrels,130,8
66,Fischsauce,55,9
67,Maekrua Oyster Sauce,67,9
68,Lait De Coco AROY-D 1L,185,7
69,Altramuces,104,8
70,Bebida de almendra + calcio,148,8
71,Taekyung Red Pepper Powder,4,10
72,Panettone,377,3
73,Original gluco biscuits,466.6667,1
74,Gran gelées di zuccheri agrumi,252,5
75,Gemüse Bouillon,4,10
76,Tortillas de trigo,299,5
77,Bebida de soja chocolate,71,9
78,Margarine,571.4286,0
79,Cherries in Liqueur,426,2
80,Mehl Universal,337,4
81,Rindsgulasch,96,9
82,Cherry fruit bar,200,6
83,Maître truffout &quot; truffles&quot;,611,0
84,Cracker Mit Sesam 250g Packung Stiratini,449,2
85,Swisse Hair Skin Nails,1,10
86,Pâte de curry rouge Ayam™,144,8
87,Orange Juice,45.8333,10
88,Salted caramel protein balls,470,1
89,Organic coconut water,35,10
90,Chicken bbq pizza,290,5
91,Creamy peanut butter spread,606,0
92,Nabisco mini chips ahoy! real chocolate chip cookies,500,0
93,Light Dressing,80,9
94,Deluxe Cashews,607,0
95,Entenmann's cake louisiana crunch,394,3
96,Food club popcorn butter light,424,2
97,Sun Sprout Clover Sprouts Clover,29,10
98,Haricots certs - green beans,25,10
99,stackerz,150,7
100,Creamy Caesar Yogurt Dressing,45,10
101,Slow Churned Cookies'n CreamDreyer's Ice Cream,150,7
102,Mild coconut korma indian simmer sauce,72,9
103,Cookies chocolat noisettes,516,0
104,Cabillaud à l’oseille,79,9
105,Migros rôti anglais,121,8
106,Whole Milk Fresh Cheese,321,4
107,Pecan Halves,200,6
108,Original no salt added potato chips original,571,0
109,Cheat Spread,577,0
110,Exubérance vanille pecan et caramel,281.818181818182,5
111,Original lemonade original,50,9
112,Wing sauce & glaze,100,8
113,Sedona spanish queen whole green olives,167,7
114,Olives Ripe,167,7
115,Red Seaweed Pearls,0,10
116,Vanilla Flavored Sandwich Cookies,440,2
117,Dark cherry vanilla kombucha,17,10
118,Lingonberry drink concentrate,200,6
119,Weis hot sauce,0,10
120,Reese's spreads peanut butter chocolate peanut butter chocolate,514,0
121,Honey,333,4
122,Plain Tortillas,236,6
123,4% Milkfat Large Curd cottage cheese,110,8
124,Oscar mayer thick cut bacon hardwood smoked,500,0
125,Michele's granola cinnamon raisin,500,0
126,Organic Ceylon Cinnamon Powder,15,10
127,Juice Cocktail Pomegranate,55,9
128,Buckwheat Pudding Vanilla Bean Cashew,106,8
129,Kafferep,160,7
130,Rendered Duck Fat,857,0
131,Mini marshmallows,333,4
132,Mashed malanga,403,2
133,Philadelphia fat free cream cheese,91,9
134,Okf Aloe Vera Drink Peach,38,10
135,Sylt Lingon,166.66666666667,7
136,Bar-B-Que Sauce,0,10
137,Gelato Sea Salt Caramel,229,6
138,Grönsaksbullar Vegetable Balls (ikea),173.6111,7
139,Sylt Hjortron Cloudberry Jam,248,6
140,Mott's natural applesauce,41,10
141,Cake mate green icing,417,2
142,Great value cinnamon waffles cinnamon,357,3
143,Farfalle Multigrain Pasta,339,4
144,Tomato Puree,42,10
145,Amande cacao pecou,560,0
146,Poulet fermier blanc,145,8
147,Weis Choco Chip Cookie,50,9
148,Alouette soft spreadable cheese flame-roasted red peppers,261,5
149,Weis fudge ice brownie with walnuts,429,2
150,Italian Bread Sliced,75,9
151,Tesco Crusty White Roll,276.4,5
152,Tesco Ciabatta Roll,295,5
153,Comté portion,430,2
154,Boisson instantanée,350,3
155,Costillas barbacoa cortada,186,7
156,Svensk Ekologisk Nöt,140,8
157,Boar's head pecorino romano cheese,400,2
158,Havarti light,252,5
159,Crackerz Cracked Pepper And Sea Salt,385,3
160,Parmigiano reggiano cheese,393,3
161,Powdered sugar,400,2
162,Best west french style green beans,17,10
163,Polaner real mint jelly mint,222,6
164,Le Gruyère,396,3
165,Blueberry Muffin,470,1
166,Fat Free Milk,38,10
167,Raw Frozen Saltwater Pink Shrimp,82,9
168,Vegane Bananenschnitte,246,6
169,Cashew Nuts,550,0
170,Abricots secs,283,5
171,Shoprite tyson split chicken breast with ribs,170,7
172,Ocean spray juice cranberry raspberry,50,9
173,celery hearts,10,10
174,Marinara Tomato Pasta Sauce,56,9
175,Organic creamery organic parmesan cheese,357,3
176,Il giardino asiago fresco cheese,368,3
177,Shoprite emmentaler swiss cheese cuts,393,3
